City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
9,Butaritari,KI,81.55,broken clouds,3.0707,172.7902,Isles Sunset Lodge
10,Ishigaki,JP,86.13,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
25,The Valley,AI,82.54,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
29,Guatire,VE,79.7,broken clouds,10.4762,-66.5427,Parque Residencial Canaima I
36,Kavaratti,IN,82.71,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
37,Kavieng,PG,83.61,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
39,Tulum,MX,80.55,overcast clouds,20.2167,-87.4667,Kin Ha Tulum
43,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
44,Miraflores,MX,80.02,overcast clouds,19.2167,-98.8083,Hotel Mansión
46,Nagua,DO,86.05,few clouds,19.3832,-69.8474,Hotel Cambri
48,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
49,Syracuse,IT,80.31,clear sky,37.0881,15.2792,Hotel Posta
57,Atuona,PF,78.21,broken clouds,-9.8,-139.0333,Villa Enata
58,Kapaa,US,82.47,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
60,Jiwani,PK,81.97,clear sky,25.05,61.7417,Hamza hotel jiwani
66,Noumea,NC,80.58,clear sky,-22.2763,166.4572,Hôtel Le Lagon
67,Covington,US,82.83,clear sky,39.0837,-84.5086,Cincinnati Marriott at RiverCenter
79,Dossor,KZ,79.81,overcast clouds,47.5272,52.9811,"Gostinitsa Orpk ""Nauryz"""
81,Ugoofaaru,MV,81.72,broken clouds,5.6667,73.0,Ungoofaaru Inn
92,Labuhan,ID,78.87,overcast clouds,-6.8844,112.2051,DoubleFAG
98,Auki,SB,83.1,overcast clouds,-8.7676,160.7034,Auki Motel
103,Majene,ID,79.23,scattered clouds,-3.5403,118.9707,Kost Putri RABBANI
106,Kirakira,SB,82.89,broken clouds,-10.4544,161.9205,SanBiz Lodge
107,Kahului,US,86.02,clear sky,20.8947,-156.47,Maui Seaside Hotel
109,Avarua,CK,82.45,few clouds,-21.2078,-159.775,Paradise Inn
115,Sur,OM,85.86,clear sky,22.5667,59.5289,Sur Plaza Hotel
116,Buraydah,SA,81.05,few clouds,26.326,43.975,Mövenpick Qassim
122,Port Keats,AU,85.35,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
123,Hithadhoo,MV,82.92,broken clouds,-0.6,73.0833,Scoop Guest House
129,Esna,EG,84.22,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
133,Bubaque,GW,80.51,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
134,Edd,ER,88.16,overcast clouds,13.9297,41.6925,
139,Kieta,PG,83.59,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
146,Hilo,US,89.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
147,Ahuimanu,US,85.71,overcast clouds,21.4447,-157.8378,Paradise Bay Resort
157,Adre,TD,82.53,few clouds,13.4667,22.2,
158,Victoria,HK,86.05,overcast clouds,22.2855,114.1577,Mini Central
163,Isangel,VU,79.03,few clouds,-19.55,169.2667,Tanna Lodge
173,Mandera,KE,78.19,overcast clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
190,Meadow Lake,US,91.8,broken clouds,34.8014,-106.5436,TumbleWeed RV Park
195,Bushehr,IR,87.39,scattered clouds,28.9684,50.8385,Yas Hotel
