City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Chapais,CA,49.7834,-74.8492,56.98,96,100,2.59,overcast clouds
1,Hermanus,ZA,-34.4187,19.2345,56.8,53,15,7.36,few clouds
2,Bluff,NZ,-46.6,168.3333,50.81,73,8,8.57,clear sky
3,Tvoroyri,FO,61.5556,-6.8111,50.45,92,90,15.17,overcast clouds
4,Kaitangata,NZ,-46.2817,169.8464,53.71,66,0,3.53,clear sky
5,Ushuaia,AR,-54.8,-68.3,35.83,86,85,13.33,overcast clouds
6,Albany,US,42.6001,-73.9662,73.63,39,11,6.73,few clouds
7,Chokurdakh,RU,70.6333,147.9167,53.13,33,32,9.64,scattered clouds
8,Chuy,UY,-33.6971,-53.4616,57.43,92,100,4.18,overcast clouds
9,Butaritari,KI,3.0707,172.7902,81.55,74,78,13.13,broken clouds
10,Ishigaki,JP,24.3448,124.1572,86.13,84,75,18.41,broken clouds
11,Busselton,AU,-33.65,115.3333,54.21,73,100,8.88,overcast clouds
12,Tuktoyaktuk,CA,69.4541,-133.0374,32.41,74,36,8.57,scattered clouds
13,Mataura,NZ,-46.1927,168.8643,50.49,68,0,3.4,clear sky
14,Dubbo,AU,-32.25,148.6167,48.33,81,40,13.8,scattered clouds
15,Rikitea,PF,-23.1203,-134.9692,73.67,78,23,18.14,light rain
16,Prince Rupert,CA,54.3161,-130.3201,58.69,88,100,4.61,overcast clouds
17,Klaksvik,FO,62.2266,-6.589,50.92,90,100,9.06,overcast clouds
18,Berlevag,NO,70.8578,29.0864,42.6,87,100,9.22,overcast clouds
19,Evensk,RU,61.95,159.2333,50.2,79,100,5.77,overcast clouds
20,Castro,BR,-24.7911,-50.0119,55.56,88,82,3.24,broken clouds
21,Bandar,ID,2.05,99.75,73.74,94,97,1.99,overcast clouds
22,Necochea,AR,-38.5473,-58.7368,49.55,65,96,3.98,overcast clouds
23,Chicama,PE,-7.8447,-79.1469,57.74,81,72,8.1,broken clouds
24,Karpogory,RU,64.0019,44.4451,49.44,94,28,3.04,scattered clouds
25,The Valley,AI,18.217,-63.0578,82.54,78,20,11.5,few clouds
26,Bowen,AU,-20.0167,148.2333,75.88,73,97,5.01,overcast clouds
27,Srednekolymsk,RU,67.45,153.6833,50.83,38,83,14.38,broken clouds
28,Barrow,US,71.2906,-156.7887,28.42,86,100,23.02,overcast clouds
29,Guatire,VE,10.4762,-66.5427,79.7,97,56,2.15,broken clouds
30,Tiksi,RU,71.6872,128.8694,44.71,76,60,4.92,broken clouds
31,Bredasdorp,ZA,-34.5322,20.0403,54.5,74,6,4.34,clear sky
32,Port Macquarie,AU,-31.4333,152.9167,63.9,49,22,8.12,few clouds
33,Viedma,AR,-40.8135,-62.9967,53.38,53,4,15.66,clear sky
34,Saint Leonard,CA,47.173,-67.9247,55.72,96,99,4.72,overcast clouds
35,Lagoa,PT,39.05,-27.9833,63.73,96,91,16.6,overcast clouds
36,Kavaratti,IN,10.5669,72.642,82.71,75,100,11.03,overcast clouds
37,Kavieng,PG,-2.5744,150.7967,83.61,67,35,4.74,scattered clouds
38,Punta Arenas,CL,-53.15,-70.9167,46.51,57,0,13.8,clear sky
39,Tulum,MX,20.2167,-87.4667,80.55,80,94,5.75,overcast clouds
40,Jamestown,US,42.097,-79.2353,66.02,37,100,8.05,overcast clouds
41,Astoria,US,46.1879,-123.8313,57.92,92,100,10.36,overcast clouds
